Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2023,Nissan,Nissan Z,Class Sports car (S),"Layout Front mid-engine, rear-wheel-drive",,,Transmission,"Engine Nissan NR4S21 1,995 cc (122 cu in) inline-4 single-turbocharged Front mid-engine, rear-wheel drive",,,,,,,,Predecessor Nissan 370Z (Z34),"It also has two transmission options, a 6-speed manual and a 9-speed automatic t","It also has two transmission options, a 6-speed manual and a 9-speed automatic transmission.",,
,,,"Wheelbase 2,550 mm (100.4 in)",Engine 3.0 L VR30DDTT twin-turbo V6,,,speed Jatco JR913E/Mercedes-9G-Tronic automatic,,,,,,,,,"The facelifted version of the Z was revealed at the 2026 Tokyo Auto Salon on January 9, 2026. A new Z badge on the hood replaces the Nissan logo and a new front bumper design is used, which is inspired by the S30.","More powerful and track-focused, Z Nismo was introduced in July 2023 with signif","More powerful and track-focused, Z Nismo was introduced in July 2023 with significant upgrades over the standard version.",,
,,,Motorsports,hp (298 kW; 406 PS) 350 lb⋅ft (475 N⋅m; 48 kg⋅m),,,speed FS6R31A manual,,,,,,,,,Nissan Z Performance in Seiran Blue body color at 2022 New York Auto Show,"This Fairlady Z Customized Proto features a new orange body color, split front g","This Fairlady Z Customized Proto features a new orange body color, split front grille, black eight-spoke wheels with ""Nissan Z"" badged tires, black graphics package with black roof, accents and stripes, front fender flares and carbon-fiber front splitter and side skirts.",,
,,,Michelin Pilot Sport,hp (313 kW; 426 PS) 384 lb⋅ft (521 N⋅m; 53 kg⋅m) (Z Nismo),,,"On December 17, 2025, Nissan introduced the manual transmission variant in the US for the 2026 model year.",,,,,,,,,Predecessor Nissan GT-R GT500,Other upgrades includes: SynchroRev Match rev-matching system for manual transmi,"Other upgrades includes: SynchroRev Match rev-matching system for manual transmission models, GT-R-inspired paddle shifters with launch control for automatic transmission models, an even sportier suspension setup over the Sport trim, larger brake rotors with 14.0-inch for the front and 13.8-inch in the rear and also red floating aluminum calipers with 4-piston up front and 2-piston for the rear.",,
,,,Drive Car of The Year Awards – Best Sports Coupe,The VR30DDTT engine alongside the Nissan Z,,,Transmission,,,,,,,,,"Z Racing Concepts being chequered flagged together at 2022 Super Taikyu Series, 24 hours of Fuji race","Z Nismo Nissan Z NISMO The Z Nismo was revealed on August 1, 2023 for the","Z Nismo Nissan Z NISMO The Z Nismo was revealed on August 1, 2023 for the 2024 model year, with significant upgrades over the standard Z both visually and mechanically.",,
,,,,"Nissan Z Nissan Z (RZ34, facelift 2026) - 3.0 V6 (400 Hp)",,,,,,,,,,,,,"Additionally, both cars were fitted with a different aero package, compared to t","Additionally, both cars were fitted with a different aero package, compared to the standard Z.",,
,,,,,,,,,,,,,,,,,"Including; minor upgrades to the VR30DDTT engine, optimized chassis and suspensi","Including; minor upgrades to the VR30DDTT engine, optimized chassis and suspension for competitive racing and track driving, an aerodynamic package; which includes, a front splitter with canards and GT4-inspired strut-supported rear wing.",,
,,,,,,,,,,,,,,,,,"Other GT4 race car changes; such as the fire suppression system, weight reductio","Other GT4 race car changes; such as the fire suppression system, weight reduction and safety equipment such as a roll cage were also fitted to the car.",,
,,,,,,,,,,,,,,,,,"Specifications, options and accessories may differ in Hawaii, U.S.","Specifications, options and accessories may differ in Hawaii, U.S.",,
,,,,,,,,,,,,,,,,,"For additional information on availability, options or accessories, see your Nis","For additional information on availability, options or accessories, see your Nissan dealer or contact Nissan North 2023 Nissan Z Specifications Specifications are based on latest product information available at the time of release For more information and to shop online for Nissan Z® Genuine Nissan Accessories, go to bit.ly/23Z-Accys Rear/Left: Nissan Z® Performance shown in Two-tone Brilliant Silver Metallic / Super Black with NISMO® 57CR Clubsport 19"" Forged Alloy Wheels,15 Dual Racing Stripe",,
,,,,,,,,,,,,,,,,,"2023 Nissan Z Specs, Features & Options Here's everything you need to know about","2023 Nissan Z Specs, Features & Options Here's everything you need to know about each trim in the 2023 Nissan Z lineup.",,
,,,,,,,,,,,,,,,,,Latest technology in the 2023 Nissan Z: Compare all specifications and configura,"Latest technology in the 2023 Nissan Z: Compare all specifications and configurations of the 2023 Nissan Z, special features and options, and check out specs and trims on CarBuzz 2023 Nissan Z Configurations Select up to 3 trims below to compare some key specs and options for the 2023 Nissan Z.",,
