Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2020,Jeep,Compass,Jeep Compass Sport,"Layout Front-engine, front-wheel drive or all-wheel drive",,,Transmission,"Layout Front-engine, front-wheel drive or all-wheel drive",,,,,,,,"Four years before the introduction of the production Jeep Compass, a concept vehicle with the same name had its world premiere in Detroit at the 2002 North American International Auto Show. It featured a two-door body, all-wheel drive and a 3.7-liter V6 engine.","The third-generation Compass debuted in May 2025, built on the STLA Medium by St","The third-generation Compass debuted in May 2025, built on the STLA Medium by Stellantis, shared with other PSA Groupe vehicles.","The Jeep® Compass available with the Dual Pane Sunroof lets the great outdoors in, with th","The Jeep® Compass available with the Dual Pane Sunroof lets the great outdoors in, with the expansive sky above you and the ergonomically designed seats surrounding you."
,,,"Wheelbase 103.7 in (2,635 mm)","Four years before the introduction of the production Jeep Compass, a concept vehicle with the same name had its world premiere in Detroit at the 2002 North American International Auto Show. It featured a two-door body, all-wheel drive and a 3.7-liter V6 engine.",,,speed Magna T355 manual,"Four years before the introduction of the production Jeep Compass, a concept vehicle with the same name had its world premiere in Detroit at the 2002 North American International Auto Show. It featured a two-door body, all-wheel drive and a 3.7-liter V6 engine.",,,,,,,,"A special edition Compass model commemorated Jeep's 70th anniversary in 2011, and included various upgrades, special interiors, badges, wheels, and was available in only three exterior colors: Bronze Star, Bright Silver, and Black.","It includes features such as seventeen-inch alloy wheels, an AM/FM stereo with s","It includes features such as seventeen-inch alloy wheels, an AM/FM stereo with single-disc CD player and four speakers, a heater, cloth seating surfaces, and manual, roll-up windows and manual door locks.",Ski Grey leather interior with ruby red accent stitching and optional Dual Pane Sunroof Fe,Ski Grey leather interior with ruby red accent stitching and optional Dual Pane Sunroof Features and Packages: The Compass trim levels can be outfitted with even more features via packages.
,,,"The three basic models of Compass in the U.S are Sport, Latitude, and Limited.",Diesel:,,,speed Hyundai 6F24 automatic,Jeep Compass 4x4 variants (2012),,,,,,,,Predecessor Jeep Patriot,"The 2014-2016 Jeep Compass Sport and Sport SE, the Electronic Vehicle Informatio","The 2014-2016 Jeep Compass Sport and Sport SE, the Electronic Vehicle Information Center (EVIC) does not come as standard equipment.",The lengthy list of comfort features available in the new 2020 Jeep Compass include driver,"The lengthy list of comfort features available in the new 2020 Jeep Compass include driver and passenger favorites like dual-zone automatic climate control, a dual-pane panoramic sunroof, heated front seats, a heated steering wheel, a rear power liftgate, leather-trimmed seats, and many others that help make every drive more enjoyable."
,,,"The Limited is the top-of-the-line model. It added features such as leather-trimmed seats, had an available sunroof, and remote starter.",L VAG EA188 CRD PD I4 turbo-diesel,,,CVT Jatco JF011E automatic,Rollover AWD: / 16.4%,,,,,,,,"In addition to the standard trim levels, Altitude and High Altitude Special Editions are available for the Latitude and Limited trim levels, respectively, and added ""blacked-out"" exterior accents, black alloy wheels, as well as other features to their respective trim levels.",The EVIC comes as an optional component with the security and cargo convenience,The EVIC comes as an optional component with the security and cargo convenience package.,,
,,,"Wheelbase 2,640 mm (103.9 in)",L Mercedes-Benz OM651 CRD I4 turbo,,,speed FPT C635 manual,Platform FCA Small Wide LWB 4x4,,,,,,,,"Also in 2022, for the Indian market, Jeep released the Compass ""5th Anniversary Edition"", celebrating five years of the Compass in India. The car featured exclusive trim and alloy wheels, alongside a restyled interior.","This option comes with an alarm, tonneau cover, tire pressure monitoring display","This option comes with an alarm, tonneau cover, tire pressure monitoring display, garage door opener, and an electronic vehicle information center.",,
,,,The 2022 Compass was tested by the IIHS and its top trim earned a Top Safety Pick award:,L FCA GSE T4 I4 turbo (PHEV),,,speed ZF 948TE torque converter automatic,,,,,,,,,,It also includes a semi-autonomous assist system called Highway Assist that allo,"It also includes a semi-autonomous assist system called Highway Assist that allows for hand-on-wheel and eyes-on-road automated driving. The 2022 Compass lineup consisted of existing Sport, Latitude, Trailhawk, Limited, and High Altitude models, although a new Latitude Lux model, slotting between the mid-range Latitude and luxury-oriented Limited trims, became available.",,
,,,Jeep Compass at the Internet Movie Cars Database,,,,,,,,,,,,,,"Standard approach, breakover, and departure angles are 20, 15, and 26 degrees, r","Standard approach, breakover, and departure angles are 20, 15, and 26 degrees, respectively. The model is equipped with a 10-inch digital instrument cluster and a 16-inch touchscreen infotainment system.",,
,,,,,,,,,,,,,,,,,Ski Grey leather interior with ruby red accent stitching and optional Dual Pane,Ski Grey leather interior with ruby red accent stitching and optional Dual Pane Sunroof Features and Packages: The Compass trim levels can be outfitted with even more features via packages.,,
,,,,,,,,,,,,,,,,,The Safety and Security Group and the Advanced Safety Group outfit the SUV with,The Safety and Security Group and the Advanced Safety Group outfit the SUV with advanced driver assistance equipment.,,
,,,,,,,,,,,,,,,,,Since the specification of your vehicle depends on the items of equipment ordere,"Since the specification of your vehicle depends on the items of equipment ordered, certain descriptions and illustrations may differ from your vehicle's equipment.",,
