Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2022,BMW,X1,Wheelbase,Also called BMW iX1 (electric),,,Transmission,Hybrid drivetrain Mild Hybrid (MHEV) Plug-in Hybrid (PHEV),,,,,,,,Predecessor BMW X1 (F48),The package also includes sport seats and launch control with paddle shifters on,"The package also includes sport seats and launch control with paddle shifters on the M-Sport steering wheel. In June 2023, the M35i xDrive was announced.",The X1 has a few standalone options that improve safety like adaptive cruise control and B,The X1 has a few standalone options that improve safety like adaptive cruise control and BMW Parking Assistant.
,,,xDrive28i with M Sport package(USA),"Front-engine, all-wheel-drive (xDrive)",,,Single-speed automatic (iX1),"Petrol sDrive16i B38 1,499 cc (1.5 L) I3 turbo 91 kW (122 hp; 124 PS) @ 4,400-6,500 rpm 230 N⋅m (23.5 kg⋅m; 170 lb⋅ft) @ 1,500-4,000 rpm - - - 200 km/h (124 mph) 10.5 sec 7-speed Steptronic automatic FWD 2023–present",,,,,,,,,"For the X1 sold in the US, the optional Active Seats with Lumbar Support include","For the X1 sold in the US, the optional Active Seats with Lumbar Support includes massaging seat function for both front seats.",,
,,,,L B47 twin-scroll turbo I4 mild hybrid,,,,Motor: 55 N⋅m (5.61 kg⋅m; 40.6 lb⋅ft) - 48 V power booster 20 Ah rear battery 8.6 sec AWD,,,,,,,,,Its battery remains a 64.7 kWh lithium-ion. All iX1 models feature an option,"Its battery remains a 64.7 kWh lithium-ion. All iX1 models feature an optional cyan exterior trim, with a drag coefficient of 0.26.",,
,,,,Electric motor,,,,Battery electric eDrive20 1x BMW eDrive N/A 64.7 kWh lithium-ion 430–475 km (267–295 mi)WLTP 201 hp (150 kW; 204 PS) 247 N⋅m (25.2 kg⋅m; 182 lb⋅ft) - 170 km/h (110 mph) 8.6 sec Single-speed automatic FWD 2023–present,,,,,,,,,"""2023 BMW X1 revealed with electric iX1 option, confirmed for Australia"".","""2023 BMW X1 revealed with electric iX1 option, confirmed for Australia"".",,
,,,,Hybrid drivetrain Mild Hybrid (MHEV) Plug-in Hybrid (PHEV),,,,Rear motor: 247 N⋅m (25.2 kg⋅m; 182 lb⋅ft) 309 hp (230 kW; 313 PS) / 494 N⋅m (50.4 kg⋅m; 364 lb⋅ft) 180 km/h (110 mph) 5.6 sec AWD 2022–present,,,,,,,,,"""2023 BMW X1 Adds New Looks, Big Screens For Small SUV"".","""2023 BMW X1 Adds New Looks, Big Screens For Small SUV"".",,
,,,,kWh lithium-ion (PHEV),,,,,,,,,,,,,The X1 has a few standalone options that improve safety like adaptive cruise con,The X1 has a few standalone options that improve safety like adaptive cruise control and BMW Parking Assistant.,,
,,,,kWh lithium-ion (iX1),,,,,,,,,,,,,"For an in-depth side-by-side breakdown of all the 2022 X1 specs, features and op","For an in-depth side-by-side breakdown of all the 2022 X1 specs, features and options by trim level, check out Kelley Blue Book's 2022 BMW X1 specs page.",,
,,,,,,,,,,,,,,,,,[ENJOY] All BMW FA Option Codes - description in English All BMWs Jump to Latest,"[ENJOY] All BMW FA Option Codes - description in English All BMWs Jump to Latest 22K views 20 replies 4 participants last post by rams16fan Mar 18, 2026 Latest technology in the 2022 BMW X1: Compare all specifications and configurations of the 2022 BMW X1, special features and options, and check out specs and trims on CarBuzz The Driving Experience Control lets the driver choose between the standard COMFORT mode, ECO PRO mode which is geared towards effi ciency, and SPORT mode which enables even",,
,,,,,,,,,,,,,,,,,"Shopping for the 2022 BMW X1 means picking from 2 trim options, each with differ","Shopping for the 2022 BMW X1 means picking from 2 trim options, each with different features and price points.",,
,,,,,,,,,,,,,,,,,The base 2022 model includes the same 2.0L Turbo I4 228hp 258ft.,The base 2022 model includes the same 2.0L Turbo I4 228hp 258ft.,,
,,,,,,,,,,,,,,,,,"and FWD as higher trims, so you're not sacrificing performance if you go with th","and FWD as higher trims, so you're not sacrificing performance if you go with the entry-level option.",,
,,,,,,,,,,,,,,,,,2022 BMW X1 Configurations Select up to 3 trims below to compare some key specs,2022 BMW X1 Configurations Select up to 3 trims below to compare some key specs and options for the 2022 BMW X1.,,
