Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
,,,"Wheelbase 2,440 mm (96.1 in)",Engine Petrol:,,,speed A4AF2 automatic,,,,,,,,,Predecessor Hyundai Excel,The upper-specification models (GX and GLX) had full cloth interior (as opposed,"The upper-specification models (GX and GLX) had full cloth interior (as opposed to vinyl seat backings), height and lumbar support adjustments on the driver's seat, four-speaker sound system (instead of two), passenger vanity mirror, a tachometer, and power antenna as standard.",,
,,,"During 2003 in Canada, the liftback was offered as a GS or GSi with a 1.5 L or 1.6 L engine, respectively. In 2004 the GS trim was equipped with the 1.6 L engine.",Diesel:,,,speed manual,,,,,,,,,A pre-2003 model (a three-door liftback) was crash tested by Australian Australasian New Car Assessment Program (ANCAP) under the rules as adopted by Euro NCAP. It scored 10.76 out of 16 points for frontal offset impact and 10.96 out of 16 in the side impact test.,"The overwhelming majority sold were the Sprint three-door, enticing buyers with","The overwhelming majority sold were the Sprint three-door, enticing buyers with free air-conditioning, driveaway pricing and from late 1998, standard power steering.",,
,,,"Wheelbase 2,500 mm (98.4 in)",L D 12V I3 CRDi turbo-diesel,,,speed automatic,,,,,,,,,The 2003 restyled model was tested by ANCAP as well. The three-door liftback scored 9.19 of 16 points for frontal impact and 9.76 out of 16 in the side impact crash test.,There was no diesel option.,There was no diesel option.,,
,,,"In Egypt, this generation was sold as the Hyundai New Accent (1.6 GLS only), and the previous model was still locally produced and sold as the Hyundai Verna (1.6 GL and GLS trims).",Engines,,,Transmission 5-speed manual,,,,,,,,,Predecessor Hyundai i20 (PB) (Indonesia),in 2008 with an instrument panel overhaul and standard rear cupholders in the SE,"in 2008 with an instrument panel overhaul and standard rear cupholders in the SE model. In 2008, Hyundai Accent received the lowest number of problems per 100 vehicles among compact multi-activity vehicles in the proprietary J.D.",,
,,,"Hyundai Solaris (Russia, Egypt)",L 12-valve SOHC Alpha I4 82 hp (61 kW),,,speed M6CF1 manual,,,,,,,,,"As of January 2020, the Accent was removed from the Hyundai Australia website, marking the end of the nameplate's 20-year run with sales reaching a total of 9,963 registered units in its last year on sale.","Safety In 2006, according to the Insurance Institute for Highway Safety,","Safety In 2006, according to the Insurance Institute for Highway Safety, the Accent received an Acceptable overall score in the frontal crash test and a Poor overall score for in the side impact test without its optional side airbags.",,
,,,"Wheelbase 2,570 mm (101.2 in)",hp (64 kW),,,speed A6GF1 automatic,,,,,,,,,"The Verna was offered with four engine options, 1.4 L VTVT petrol, 1.6 L VTVT petrol, 1.4 L CRDi diesel, and 1.6 L CRDi diesel.","North America In January 2011, the sedan had its North American debut and","North America In January 2011, the sedan had its North American debut and the hatchback had its world debut at the Montreal Auto Show. There was one engine option available in North America for the Accent, a 1.6 L with 138 hp (103 kW) and 123 lb/ft of torque (2011 - 2017 models).",,
,,,"In 2014, the Solaris was facelifted. The car got new front fascia and new 6-speed automatic and 6-speed manual gearboxes for 1.6 version.",L 12-valve SOHC Alpha I4 92 hp (69 kW) @5500 rpm 97 lb⋅ft (132 N⋅m) @2900 rpm 12.0 sec 181 km/h (112 mph),,,speed DCT,,,,,,,,,The Hyundai Verna was crash-tested by China NCAP in 2011 and scored the maximum possible 5 stars.,The Active had switched to a 1.4-litre engine and optional CVT to keep costs dow,The Active had switched to a 1.4-litre engine and optional CVT to keep costs down due to the discontinuation of the i20 in Australia.,,
,,,"–2017 Hyundai Solaris Sedan (facelift, Russia)",L 16-valve DOHC Alpha I4 102 hp (76 kW) 98 lb⋅ft (133 N⋅m) 11.6 sec 185 km/h (115 mph),,,"In 2014, the Solaris was facelifted. The car got new front fascia and new 6-speed automatic and 6-speed manual gearboxes for 1.6 version.",,,,,,,,,"The hatchback version of the fifth-generation Accent is not available in the United States market due to poor sales for its predecessor, while sedan version continued to be offered. The hatchback version was available alongside the sedan in Mexico and Canada only.","The Sport grade combined the SR's 1.6-litre engine, Premium interior materials,","The Sport grade combined the SR's 1.6-litre engine, Premium interior materials, mesh-look grille, cruise control, optional 6-speed automatic, and 16"" alloy wheels while staying close to the Active's entry price. As of January 2020, the Accent was removed from the Hyundai Australia website, marking the end of the nameplate's 20-year run with sales reaching a total of 9,963 registered units in its last year on sale.",,
,,,"(2018, based on Euro NCAP 2008)",L 16-valve DOHC Alpha I4 106 hp (79 kW) 106 lb⋅ft (144 N⋅m) 10.9 sec 189 km/h (117 mph),,,Transmission 6-speed manual,,,,,,,,,"Power output for the 2020 model year onward has been decreased to 120 hp (122 PS; 89 kW), as the engine was replaced with a new Smartstream 1.6-litre DPi engine with continuously variable valve timing and CVT, replacing the geared automatic transmission.",The car got new front fascia and new 6-speed automatic and 6-speed manual gearbo,"The car got new front fascia and new 6-speed automatic and 6-speed manual gearboxes for 1.6 version. 2014–2017 Hyundai Solaris Sedan (facelift, Russia) India In May 2011, Hyundai launched the Verna with four engine options including 1.4-litre petrol and diesel engines as well as 1.6-litre petrol and diesel engines.",,
,,,"Hyundai Solaris (Russia, 2017–2022)",Diesel,,,C0GF1 CVT,,,,,,,,,"For 2022, the six-speed manual transmission, only offered in the base SE trim level, was discontinued in the United States.","At the time of launch, the new Verna RB features safety and comfort options that","At the time of launch, the new Verna RB features safety and comfort options that were previously unavailable in the Indian market at this price point including the option of 6 airbags. Hyundai refreshed the Indian lineup of Verna in 2014 without any engine changes. The Verna was offered with four engine options, 1.4 L VTVT petrol, 1.6 L VTVT petrol, 1.4 L CRDi diesel, and 1.6 L CRDi diesel.",,
