Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2022,Lexus,RX,"Lexus RX 500h F Sport Performance (TALH17, Germany)","Front-engine, front-wheel drive",,,Transmission 4-speed U140E/F automatic,"Front-engine, front-wheel drive",,,,,,,,"The V6-powered model was available in front-wheel drive (MCU10) and all-wheel drive (MCU15) form, which comprised all RX 300 sales in export markets from March 1998 to 2003, and Harrier V6 sales in Japan from 1997 to 2003.","Both front- and four-wheel drive configurations have been used on the RX series,","Both front- and four-wheel drive configurations have been used on the RX series, and several gasoline powertrain options, including V6 engines and hybrid systems, have been offered.",,
,,,"Wheelbase 2,615 mm (103.0 in)","Front-engine, four-wheel drive",,,Transmission,"Front-engine, four-wheel drive",,,,,,,,"Unlike the previous generation, this vehicle comes with only five-passenger seating, no seven-passenger seating with the third row is offered. The three-row model from the previous generation called the RX L was replaced by the TX in 2023.",The 3.0 L 1MZ-FE V6 was rated at 164 kW (220 hp) and 301 N⋅m (222 lb⋅ft).[15,"The 3.0 L 1MZ-FE V6 was rated at 164 kW (220 hp) and 301 N⋅m (222 lb⋅ft). The transmission, a 4-speed automatic unit, offered a ""Snow"" mode which started the vehicle in second gear for better traction in adverse weather conditions. For the RX 300, a 240-watt, 7-speaker Pioneer sound system was standard, while a premium Nakamichi customized sound system was available as an option.",,
,,,RX 500h F Sport Performance,Hybrid drivetrain Power-split (RX400H),,,"Gasoline 350 2GR-FKS 3,456 cc (3.5 L) V6 300 hp (224 kW; 304 PS) @ 6,300 rpm 363 N⋅m (37.0 kg⋅m; 268 lb⋅ft) @ 4,700 rpm - - - 8-speed automatic GGL20[a] FWD 2015–2022",Rollover AWD: 16.4%,,,,,,,,,A double wishbone rear suspension setup replaces the previous MacPherson strut d,"A double wishbone rear suspension setup replaces the previous MacPherson strut design for improved handling and greater cargo space, while an optional Sports Package adds a performance-tuned suspension. The AL10 RX's new exterior styling adopts the L-finesse design language, and outer features include a rear spoiler which hides the rear window wiper and radio antenna creating a less cluttered appearance.",,
,,,RX 500h F Sport Performance (rear view),",755 mm (187.2 in) (hybrid)",,,"Rear motor: 139 N⋅m (14.2 kg⋅m; 103 lb⋅ft) 313 hp (233 kW; 317 PS) 2x synchronous motor 1.872 kWh, 288 V NiMH eCVT GYL20 FWD 2016–2022","Gasoline 200t/300 8AR-FTS 1,998 cc (2.0 L) I4 238 hp (177 kW; 241 PS) @ 4,800-5,600 rpm 350 N⋅m (35.7 kg⋅m; 258 lb⋅ft) @ 1,650-4,000 rpm - - - 6-speed automatic AGL20 FWD 2016–2022",,,,,,,,,The drag coefficient on the latest RX 350 has been reduced to Cd=0.33. Exter,"The drag coefficient on the latest RX 350 has been reduced to Cd=0.33. Exterior dimensions are increased, with cargo room increased by five percent over the prior generation. For the interior, major standard features include SmartAccess, a keyless entry and start system, electrochromic heated side mirrors, UV reducing exterior glass, Bluetooth, power tilt/telescoping steering wheel, power 10-way driver and passenger seats, sliding and reclining rear seats and a power rear hatch.",,
,,,L A25A-FXS RX 500h F Sport,L 2GR-FXE V6,,,"speed AWF8F35/UA81E ""Direct Shift-8AT"" automatic (RX 300/350)",AGL25 AWD,,,,,,,,,"Optional accessory features include XM Satellite Radio, a 15-speaker 330-watt Ma","Optional accessory features include XM Satellite Radio, a 15-speaker 330-watt Mark Levinson Surround Sound audio system, a dual-screen Rear Seat Entertainment System (RSES), 19-inch wheels, heated and ventilated front seats, power front seat cushion extender, perforated and semi-aniline leather seats, a smog sensor for the HVAC system, power folding side view mirrors, and navigation system.",,
,,,,,,,,,,,,,,,,,"Two headlight designs are available, consisting of a compact Bi-LED which comes","Two headlight designs are available, consisting of a compact Bi-LED which comes standard, or an L-shape LED, accompanied by 18 separate LEDs.",,
,,,,,,,,,,,,,,,,,The C-pillar is blacked out which are to give a floating roof effect. Gener,"The C-pillar is blacked out which are to give a floating roof effect. General exterior features include flush-fitting headlight washers, dual exhausts, an optional panoramic sunroof, aluminum roof rails, redesigned door handles which include the SmartAccess card key, and a door handle illumination. The drag coefficient on the fourth-generation RX had reached 0.33 Cd.",,
,,,,,,,,,,,,,,,,,An active anti-roll bar from the European specification third generation RX was,An active anti-roll bar from the European specification third generation RX was added to the F-Sport package.,,
,,,,,,,,,,,,,,,,,"The 12.3-inch display is optional, and adds premium features such as wider viewi","The 12.3-inch display is optional, and adds premium features such as wider viewing, navigation integrated into the dashboard, a premium audio system, and the Lexus Enform App.",,
,,,,,,,,,,,,,,,,,"The 15-speaker Mark Levinson premium audio system is optional, and rear-seat ent","The 15-speaker Mark Levinson premium audio system is optional, and rear-seat entertainment. Safety systems consist of the Pre-Collision System with Pedestrian Detection, Lane Departure Alert (LDA) with Steering Assist, Intelligent High Beam (IHB), Lexus Safety System (from 2017) and All-Speed Dynamic Radar Cruise Control.",,
