Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2025,Porsche,911,Class Sports car/Grand tourer (S),"Layout Rear-engine, rear-wheel drive/all-wheel drive",,,door 2-seat speedster,"Layout Rear-engine, rear-wheel drive/all-wheel drive",,,,,,,,Predecessor Porsche 356,"Porsche 911 The 1 millionth 911, which was produced in 2017, on display at Volk","Porsche 911 The 1 millionth 911, which was produced in 2017, on display at Volkswagen Group Forum, Berlin, in Irish Green.",,
,,,"The 911-based 912, powered by a flat-4 engine (1967)",Air-cooled engines (1964–1998),,,"In 1989, a 5-speed manual transmission became available for the 930. The 930 was replaced in 1990 with the 964 turbo featuring the same 3.3-litre engine. There have been turbocharged variants of each subsequent generation of 911 since then.",,,,,,,,,"The 911-based 912, powered by a flat-4 engine (1967)","The 912, introduced in the same year, served as a direct replacement, offering t","The 912, introduced in the same year, served as a direct replacement, offering the de-tuned version of the 356 SC's 4-cylinder, 1,582 cc (1.6 L), 90 PS (66 kW; 89 hp) boxer four Type 616/36 engine inside the 911 bodywork with a Type 901 four-speed manual transmission (a 5-speed manual transmission was optional).",,
,,,Sport Classic,Turbo (1975–1989),,,Speedster,,,,,,,,,"As with the 996 Turbo, the car featured distinctive styling cues over the Carrera models including front LED driving/parking/indicator lights mounted on a horizontal bar across the air intakes. The traditional rear wing is a variation of the 996 bi-plane unit.",The standard 911 version received an increase to 165 PS (121 kW; 163 hp) for Mod,"The standard 911 version received an increase to 165 PS (121 kW; 163 hp) for Model Year 1976, which meant that starting from MY 1976, there was only a difference in power of 10 hp between the 911 and the 911S.",,
,,,Sport Classic,Porsche 911 Turbo (930),,,The Speedster featured a windscreen 70mm shorter than the standard 997 cabriolet while maintaining the same rake angle.,,,,,,,,,A new 911 Turbo S was set for production in 2010. It is a fully optioned Porsche 911 Turbo with a PDK gearbox and sports exhaust as standard. It also comes with re-engineered turbochargers to give an extra 30 horsepower increase to a total of 523 PS (385 kW; 516 hp).,"In the North American markets, the ducktail was standard equipment for the Carre","In the North American markets, the ducktail was standard equipment for the Carrera.",,
,,,"In 2015, Car and Driver named the Porsche 911 ""the best premium sports car on the market"".","In 1989, a 5-speed manual transmission became available for the 930. The 930 was replaced in 1990 with the 964 turbo featuring the same 3.3-litre engine. There have been turbocharged variants of each subsequent generation of 911 since then.",,,Porsche 911 Speedster Concept,,,,,,,,,The Speedster featured a windscreen 70mm shorter than the standard 997 cabriolet while maintaining the same rake angle.,"This led to the introduction of the whale tail rear spoiler, available as an opt","This led to the introduction of the whale tail rear spoiler, available as an option on the 1974–75 Carrera 2.7 models, as well as the newly introduced 930 Turbo.",,
,,,"Cole, Lance (2020). Porsche 911: Classic German Sportscar. Car Craft series, no. 2. Barnsley, South Yorkshire: Pen & Sword Transport. ISBN 9781526756800.",,,,,,,,,,,,,,"The Turbo-Look option package contained: Front fenders of the 930 Turbo; which,","The Turbo-Look option package contained: Front fenders of the 930 Turbo; which, were attached the same way as the Turbo, first by welding flares to the narrow fender, then from model year 1986 a new, widened fender as a one piece stamped steel part was developed.",,
,,,Authority control databases,,,,,,,,,,,,,,One could cancel the front spoiler and back spoiler - first without a change in,"One could cancel the front spoiler and back spoiler - first without a change in price; however, later the package price decreased by about DM 2,000.",,
,,,,,,,,,,,,,,,,,"Such vehicles were documented, in addition, with the option M470.","Such vehicles were documented, in addition, with the option M470.",,
,,,,,,,,,,,,,,,,,The Turbo-Look option package did not include: Bilstein shocks/struts of the Tur,The Turbo-Look option package did not include: Bilstein shocks/struts of the Turbo – Instead the Turbo-Look used the Carrera Boge units.,,
,,,,,,,,,,,,,,,,,There was no independent chassis number given for the M491/M490 optioned vehicle,"There was no independent chassis number given for the M491/M490 optioned vehicles. 1988 Porsche Carrera CS In 1985, Porsche introduced the first Carrera Club Sport prototype with the identification number WP0ZZZ91ZF100848.",,
,,,,,,,,,,,,,,,,,"From 1987 to September 1989, Porsche decided to produce 340 units for their cust","From 1987 to September 1989, Porsche decided to produce 340 units for their customers that wanted a track inspired road car, The 911 Carrera Club Sport (CS) (option M637), is a reduced weight version of the standard Carrera purposely built for club racing, it gained engine and suspension modifications.",,
,,,,,,,,,,,,,,,,,The CS had a blueprinted engine with hollow intake valves and a higher rev limit,"The CS had a blueprinted engine with hollow intake valves and a higher rev limit, deletion of: all power options, sunroof (except one unit), air conditioning (except two units), radio, rear seat, undercoating, sound insulation, rear wiper, door pocket lids, fog lamps, front hood locking mechanism, engine and luggage compartment lights, lockable wheel nuts and even the rear lid ""Carrera"" logo, all in order to save an estimated 70 kg (150 lb) in weight.",,
,,,,,,,,,,,,,,,,,"Although the CS was well received by the club racers, because it cost more than","Although the CS was well received by the club racers, because it cost more than the standard 911, but had fewer comfort features.",,
,,,,,,,,,,,,,,,,,"The 911 Speedster (option M503), a low-roof version of the Cabriolet which was e","The 911 Speedster (option M503), a low-roof version of the Cabriolet which was evocative of the 356 Speedster of the 1950s, was produced in limited numbers (2,104 units) starting in January 1989 until July 1989 as both a narrow body car and a Turbo-look.",,
,,,,,,,,,,,,,,,,,The 964 was one of the first cars in the world offered with dual airbags standar,"The 964 was one of the first cars in the world offered with dual airbags standard (from 1991), the first being the 944 Turbo (from 1987).",,
,,,,,,,,,,,,,,,,,"However, while European RS was a homologation special, RS America was an option","However, while European RS was a homologation special, RS America was an option delete variant of the regular model.",,
,,,,,,,,,,,,,,,,,"Since the RS/RS America was intended as a no-compromise, higher performance vers","Since the RS/RS America was intended as a no-compromise, higher performance version of the 964, there were four factory options available: a limited-slip differential, AM/FM cassette stereo, air conditioning, and a sunroof.",,
,,,,,,,,,,,,,,,,,"The interior was more basic than a standard 911 as well; for example, the interi","The interior was more basic than a standard 911 as well; for example, the interior door panels lacked the armrests and door pockets and had a simple pull strap for the opening mechanism.",,
,,,,,,,,,,,,,,,,,"Meanwhile, a new four-wheel-drive system was introduced as an option in the form","Meanwhile, a new four-wheel-drive system was introduced as an option in the form of the Carrera 4, the rear-wheel-drive versions simply being called Carrera or C2.",,
,,,,,,,,,,,,,,,,,"2025 Porsche 911 Specs, Features & Options Here's everything you need to know ab","2025 Porsche 911 Specs, Features & Options Here's everything you need to know about each trim in the 2025 Porsche 911 lineup.",,
,,,,,,,,,,,,,,,,,"Throughout its 15-year production run, Porsche offered a wide array of options a","Throughout its 15-year production run, Porsche offered a wide array of options and equipment codes, allowing buyers to customize everything from performance ...",,
,,,,,,,,,,,,,,,,,"Dec 9, 20242025 Porsche 911 Carrera: 6 Best Options for the Money There are hund","Dec 9, 20242025 Porsche 911 Carrera: 6 Best Options for the Money There are hundreds of individual options to choose from for the 2025 911 Carrera but these 6 offer the best value for your dollar.",,
,,,,,,,,,,,,,,,,,"Sep 19, 2024The 992.2 2025 Carrera gets a power boost from upgraded turbocharger","Sep 19, 2024The 992.2 2025 Carrera gets a power boost from upgraded turbochargers and intercooler, optional rear seats, subtle exterior tweaks, a 12.6-inch digital cluster, and a start button.",,
