Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2020,Hyundai,Sonata,"Wheelbase 2,579 mm (101.5 in)","Front-engine, rear-wheel-drive (1985–1988)",,,Transmission 5-speed manual,Hybrid drivetrain HEV,,,,,,,,Predecessor Hyundai Stellar,The Sonata was available with two trim options in Korea: Luxury and Super (the l,The Sonata was available with two trim options in Korea: Luxury and Super (the latter only available with a 2.0-liter engine).,Bose audio | 12-speaker system | suede; Suede seating,[Brochure] Bose audio | 12-speaker system | suede; Suede seating
,,,"Wheelbase 2,650 mm (104.3 in)","Front-engine, four-wheel-drive (2023–present)",,,It was sold in New Zealand (right hand drive) with the 1.6-liter Mitsubishi engine with the five-speed manual gearbox; an automatic transmission was an optional extra. The original importer was a unit of the Auckland-based Giltrap Motor Group.,,,,,,,,,Trim levels offered in the US:,The body was a largely unchanged Hyundai Stellar. It was sold in New Zealand,The body was a largely unchanged Hyundai Stellar. It was sold in New Zealand (right hand drive) with the 1.6-liter Mitsubishi engine with the five-speed manual gearbox; an automatic transmission was an optional extra.,Bose audio | 12-speaker system | suede; Suede seating,[Brochure] Bose audio | 12-speaker system | suede; Suede seating
,,,Trim levels offered in the US:,Engine 1.8 L G4BM I4,,,Transmission 4-speed F4A42 automatic by Mitsubishi,,,,,,,,,"The third generation Y3 model was also produced as the Hyundai Marcia between 1995 and 1998, selling alongside the Sonata in South Korea only. The Marcia differed from the Sonata with its restyled front and rear fascias.",The original importer was a unit of the Auckland-based Giltrap Motor Group.,The original importer was a unit of the Auckland-based Giltrap Motor Group.,Bose audio | 12-speaker system | suede; Suede seating,[Brochure] Bose audio | 12-speaker system | suede; Suede seating
,,,"Wheelbase 2,700 mm (106.3 in)",It was sold in New Zealand (right hand drive) with the 1.6-liter Mitsubishi engine with the five-speed manual gearbox; an automatic transmission was an optional extra. The original importer was a unit of the Auckland-based Giltrap Motor Group.,,,speed manual,,,,,,,,,"The EF-B model featured an all-aluminum, G6BAY series 2.7-liter Delta V6 with 174 hp (130 kW; 176 PS) and 181 lb⋅ft (245 N⋅m), as well as the Sirius II 2.4-liter inline-four rated at 138 hp (103 kW) and 147 lb⋅ft (199 N⋅m) of torque.",The base engine in most markets was a 2.0-liter 77 kW (105 hp) Sirius inline-fou,"The base engine in most markets was a 2.0-liter 77 kW (105 hp) Sirius inline-four, but there was a 3.0-liter, 107 kW (145 hp) Mitsubishi V6 option in some markets.",Bose audio | 12-speaker system | suede; Suede seating,[Brochure] Bose audio | 12-speaker system | suede; Suede seating
,,,"Wheelbase 2,730 mm (107.5 in)",Engine,,,speed manual (2.0 CRDI),,,,,,,,,The Sonata was manufactured by TagAZ in Russia until 2012.,"In Korea, the 2.4-liter option was sold as the F24S (24 = 2.4L, S = Special).","In Korea, the 2.4-liter option was sold as the F24S (24 = 2.4L, S = Special).",Bose audio | 12-speaker system | suede; Suede seating,[Brochure] Bose audio | 12-speaker system | suede; Suede seating
,,,Hyundai Sonata Limited (facelift),L Sigma V6,,,"The Diesel engine (D4EA) variant is available for the UK market with the option of 4-speed automatic or 6 speed manual, and was introduced into the Australian market for the first time, replacing the V6 option.",,,,,,,,,"The redesigned vehicle was unveiled at the 2008 Chicago Auto Show as a 2009 model year vehicle. The production version was sold as the Hyundai Sonata Transform in Korea, and the model debuted elsewhere as an 'early' 2009 model.",Standard features in U.S.,Standard features in U.S.,Bose audio | 12-speaker system | suede; Suede seating,[Brochure] Bose audio | 12-speaker system | suede; Suede seating
,,,"Wheelbase 2,795 mm (110.0 in)",L G6AT V6,,,Transmission 6-speed manual,,,,,,,,,Early release (manufactured before 2 July 2010) version of model year 2011:,"There are minimal changes for the 2010 model, which includes the optional naviga","There are minimal changes for the 2010 model, which includes the optional navigation system on the SE as opposed to being a Limited-exclusive option, and the V6 engine is no longer offered on the GLS model.",Bose audio | 12-speaker system | suede; Suede seating,[Brochure] Bose audio | 12-speaker system | suede; Suede seating
,,,"Wheelbase 2,805 mm (110.4 in)",L Delta V6,,,Model Year Transmission Power Torque Acceleration,,,,,,,,,"Korean NCAP – The Hyundai Sonata scored the highest possible ratings across the frontal, offset and side crash tests ""KNCAP Safety ratings: 2011 Hyundai Sonata"". KNCAP.","Upgraded audio uses a JBL system, and certain navigation packages come with a te","Upgraded audio uses a JBL system, and certain navigation packages come with a telecommunications system with Hyundai's Mozen system.",Bose audio | 12-speaker system | suede; Suede seating,[Brochure] Bose audio | 12-speaker system | suede; Suede seating
,,,"Wheelbase 2,840 mm (111.8 in)","The EF-B model featured an all-aluminum, G6BAY series 2.7-liter Delta V6 with 174 hp (130 kW; 176 PS) and 181 lb⋅ft (245 N⋅m), as well as the Sirius II 2.4-liter inline-four rated at 138 hp (103 kW) and 147 lb⋅ft (199 N⋅m) of torque.",,,(Official) Top speed,,,,,,,,,"China NCAP – The Hyundai Sonata scored the highest possible rating of 6 stars ""CNCAP Safety ratings: 2011 Hyundai Sonata"". CNCAP.","A six-speed manual transmission came standard on the GLS, and a six-speed automa","A six-speed manual transmission came standard on the GLS, and a six-speed automatic is available.",Bose audio | 12-speaker system | suede; Suede seating,[Brochure] Bose audio | 12-speaker system | suede; Suede seating
,,,,,,,,,,,,,,,,,ANCAP test results Hyundai i45 all variants (2013) Test Score Overall Front,"ANCAP test results Hyundai i45 all variants (2013) Test Score Overall Frontal offset 14.57/16 Side impact 14.96/16 Pole 2/2 Seat belt reminders 2/3 Whiplash protection Pending Pedestrian protection Marginal Electronic stability control Standard Korean NCAP – The Hyundai Sonata scored the highest possible ratings across the frontal, offset and side crash tests ""KNCAP Safety ratings: 2011 Hyundai Sonata"".",,
