Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2025,BMW,M240i,"Wheelbase 2,741 mm (107.9 in)","Front-engine, rear-wheel-drive",,,Transmission,"This article is about the second-generation rear-wheel drive coupé/convertible. For other uses, see BMW 2 Series.",,,,,,,,Predecessor BMW 2 Series (F22/F23),"The G42 is the first BMW vehicle designed by BMW of Mexico, and is produced in B","The G42 is the first BMW vehicle designed by BMW of Mexico, and is produced in BMW's plant in San Luis Potosí, Mexico since 2 September 2021. Development and launch 2022 BMW M240i Remaining a rear-wheel-drive-based model, the G42 is built on the CLAR platform with a roughly 50:50 weight distribution and shares many mechanical components and engine options with the G20 3 Series and G22 4 Series.","It includes codes for automatic transmissions, leather upholstery, metallic paint, premium","It includes codes for automatic transmissions, leather upholstery, metallic paint, premium audio systems, and other interior and exterior options."
,,,,L B48 I4 turbo,,,"In 2025 the BMW M2 G87 Competition comes in two variants, manual and automatic transmission. It is powered by a 3.0-litre M Twin-Turbocharged Inline-6 engine (2993 cc) that produces 473 bhp and 600 Nm of torque.",M240i Rear wheel drive 2022– B58B30O1,,,,,,,,,Standard equipment includes the features that come with this vehicle.,Standard equipment includes the features that come with this vehicle.,,
,,,,L S58 I6 turbo,,,,d Rear wheel drive 2021– B47D20,,,,,,,,,"For the most accurate pricing and values on new or used vehicles, select the opt","For the most accurate pricing and values on new or used vehicles, select the optional features on the vehicle.",,
,,,,Diesel:,,,,,,,,,,,,,This document lists BMW option codes and their descriptions.,This document lists BMW option codes and their descriptions.,,
,,,,L B47 I4 turbo,,,,,,,,,,,,,"It includes codes for automatic transmissions, leather upholstery, metallic pain","It includes codes for automatic transmissions, leather upholstery, metallic paint, premium audio systems, and other interior and exterior options.",,
,,,,Petrol engines,,,,,,,,,,,,,Wheel styles are extensively coded along with tire and suspension options.,Wheel styles are extensively coded along with tire and suspension options.,,
,,,,Model Layout Years Engine Power Torque,,,,,,,,,,,,,"Highlights of the BMW M2 CS, BMW M2 Coupe, and BMW M240i xDrive Coupe: Prices, e","Highlights of the BMW M2 CS, BMW M2 Coupe, and BMW M240i xDrive Coupe: Prices, equipment and technical data.",,
,,,,L I4 turbo 115 kW (154 hp),,,,,,,,,,,,,"Jun 12, 2024M Fine Brushed Aluminum trim is now standard in M240i models, with t","Jun 12, 2024M Fine Brushed Aluminum trim is now standard in M240i models, with two options for open-pore wood trim available on all 2 Series Coupes.",,
,,,,L I4 turbo 135 kW (181 hp),,,,,,,,,,,,,"Carbon Fiber trim is optional as well, but only on M240i models.","Carbon Fiber trim is optional as well, but only on M240i models.",,
,,,,L I4 turbo 180 kW (240 hp) /,,,,,,,,,,,,,"BMW BMW 230i buyers can opt for the M Sport Package, which comes standard on M24","BMW BMW 230i buyers can opt for the M Sport Package, which comes standard on M240i models.",,
,,,,kW (250 hp) (USA),,,,,,,,,,,,,"With options like the 382-horsepower M240i and the efficient 230i, this compact","With options like the 382-horsepower M240i and the efficient 230i, this compact ...",,
,,,,L I6 turbo 285 kW (382 hp) /,,,,,,,,,,,,,"Discover how this compact performance coupe delivers M-car thrills in a smaller,","Discover how this compact performance coupe delivers M-car thrills in a smaller, more affordable package.",,
